date,mean,std,q05,q25,q50,q75,q95
2004-01-01,0.21027553444180522,0.06431676430785882,0.12,0.16,0.21,0.25,0.34
2004-01-09,0.21119477434679335,0.05835449510177674,0.13,0.16,0.21,0.24,0.33
2004-01-17,0.2078646080760095,0.05428459978244274,0.13,0.17,0.21,0.23,0.33
2004-01-25,0.2284750593824228,0.0603367625283906,0.15,0.19,0.23,0.25,0.36
2004-02-02,0.15083847980997628,0.02554833417586568,0.12,0.14,0.14,0.16,0.21
2004-02-10,0.1868479809976247,0.04685113815858675,0.13,0.16,0.18,0.21,0.27
2004-02-18,0.18609026128266032,0.04580410031722022,0.13,0.16,0.18,0.22,0.26
2004-02-26,0.1886603325415677,0.041312332953322616,0.14,0.15,0.19,0.22,0.25
2004-03-05,0.16624465558194773,0.03684250361182468,0.12,0.14,0.16,0.18,0.24
2004-03-13,0.1888313539192399,0.0439013422691865,0.13,0.16,0.18,0.22,0.27
2004-03-21,0.21061995249406174,0.05103880951743842,0.14,0.18,0.21,0.24,0.31
2004-03-29,0.2656104513064133,0.06919983994211873,0.16,0.21,0.26,0.31,0.3854999999999973
2004-04-06,0.28838242280285037,0.07736160626141483,0.17,0.23,0.29,0.34,0.43
2004-04-14,0.2591187648456057,0.057326482208224505,0.17,0.22,0.26,0.29,0.35000000000000003
2004-04-22,0.3303325415676959,0.08443515613698908,0.18,0.27,0.33,0.38,0.47000000000000003
2004-04-30,0.3211543942992874,0.0892347908406082,0.15,0.27,0.33,0.37,0.47000000000000003
2004-05-08,0.3161520190023753,0.0720386256709566,0.19,0.27,0.31,0.37,0.43
2004-05-16,0.39896437054631834,0.09989053944535763,0.21,0.33,0.41000000000000003,0.47000000000000003,0.54
2004-05-24,0.41114251781472694,0.07233697288328522,0.26,0.38,0.41000000000000003,0.46,0.52
2004-06-01,0.5053966745843231,0.10442079537504174,0.32,0.43,0.52,0.58,0.66
2004-06-09,0.49347505938242275,0.09558975571141487,0.35000000000000003,0.44,0.49,0.54,0.67
2004-06-17,0.5798099762470309,0.10376596174728543,0.38,0.51,0.6,0.64,0.74
2004-06-25,0.5583800475059382,0.09815634424446121,0.38,0.5,0.5700000000000001,0.61,0.6900000000000001
2004-07-03,0.5994465558194774,0.1157212336320166,0.39,0.52,0.61,0.67,0.8
2004-07-11,0.5542636579572447,0.092541275813213,0.39,0.5,0.55,0.61,0.72
2004-07-19,0.4963647199046484,0.18299052775692912,0.13,0.34,0.58,0.64,0.71
2004-07-27,0.5445806768023541,0.13037392271731849,0.3,0.45,0.58,0.64,0.72
2004-08-04,0.4872777637874591,0.1464508968193254,0.23,0.37,0.5,0.61,0.71
2004-08-12,0.5670736342042756,0.0717437164411477,0.43,0.53,0.58,0.62,0.65
2004-08-20,0.4941690808533052,0.21844550010401803,0.12,0.29,0.55,0.6900000000000001,0.75
2004-08-28,0.6381377672209027,0.08565882734373066,0.5,0.58,0.63,0.7000000000000001,0.77
2004-09-05,0.6632635086884074,0.08334668077871961,0.51,0.61,0.68,0.72,0.78
2004-09-13,0.5382351543942993,0.11383655741697658,0.33,0.45,0.5700000000000001,0.62,0.71
2004-09-21,0.6388859857482185,0.05868284107688468,0.54,0.61,0.64,0.67,0.73
2004-09-29,0.637793349168646,0.07188933203389435,0.5,0.6,0.64,0.68,0.76
2004-10-07,0.5655914489311165,0.07352892573506925,0.44,0.54,0.56,0.59,0.71
2004-10-15,0.4974679334916865,0.07671214072547065,0.38,0.45,0.49,0.53,0.64
2004-10-23,0.43232066508313544,0.07080002130744638,0.32,0.39,0.43,0.46,0.58
2004-10-31,0.4278978622327791,0.07392185653979348,0.31,0.38,0.42,0.47000000000000003,0.59
2004-11-08,0.3958384798099763,0.08320465306264863,0.27,0.35000000000000003,0.39,0.44,0.56
2004-11-16,0.3308242280285036,0.06847653329811298,0.24,0.28,0.33,0.36,0.47549999999999726
2004-11-24,0.23640142517814727,0.05033234343907136,0.16,0.21,0.24,0.26,0.33
2004-12-02,0.2262399049881235,0.06991779648325674,0.11,0.18,0.23,0.26,0.34
2004-12-10,0.22475296912114015,0.07345752418476505,0.12,0.17,0.23,0.26,0.37
2004-12-18,0.2110047505938242,0.06795773785376802,0.11,0.16,0.21,0.25,0.33
2004-12-26,0.21797387173396673,0.06775920956747652,0.13,0.17,0.21,0.25,0.37
2005-01-01,0.1798888351860802,0.05909284595254155,0.12,0.14,0.16,0.21,0.28
2005-01-09,0.17122522957950703,0.05455405592963799,0.12,0.14,0.15,0.19,0.29
2005-01-17,0.1746205896568391,0.047655153045941444,0.13,0.14,0.16,0.19,0.28
2005-01-25,0.17690430159497342,0.04261408678269155,0.14,0.15,0.17,0.18,0.28
2005-02-02,0.1567278878685355,0.03403398495452687,0.12,0.14,0.15,0.16,0.23
2005-02-10,0.16680038666022234,0.039523005149552544,0.13,0.14,0.16,0.17,0.25
2005-02-18,0.17651522474625422,0.03716496717506267,0.13,0.15,0.17,0.19,0.25
2005-02-26,0.12806186563557276,0.017337634287486702,0.11,0.12,0.12,0.14,0.17
2005-03-06,0.15059690671822135,0.023227007373606903,0.12,0.14,0.15,0.15,0.2
2005-03-14,0.20913726437892705,0.05263988024517516,0.14,0.18,0.2,0.23,0.31
2005-03-22,0.2021604639922668,0.04869859126981854,0.14,0.17,0.19,0.22,0.3
2005-03-30,0.2137602706621556,0.047448912234446465,0.14,0.18,0.21,0.24,0.31
2005-04-07,0.19330594490091832,0.05233035994252956,0.13,0.16,0.18,0.22,0.32
2005-04-15,0.25863943934267764,0.07663197854797121,0.16,0.2,0.25,0.29,0.42000000000000004
2005-04-23,0.2417617206379894,0.07311123740198071,0.13,0.19,0.24,0.28,0.37
2005-05-01,0.27818994683421944,0.09413586879382878,0.15850000000000022,0.21,0.26,0.32,0.47000000000000003
2005-05-09,0.31148139197680036,0.08510849282127997,0.16,0.26,0.31,0.37,0.44
2005-05-17,0.34471483808603187,0.09974800718265965,0.18,0.27,0.34,0.41000000000000003,0.51
2005-05-25,0.36735137747704205,0.12559108300277014,0.16,0.28,0.37,0.45,0.5900000000000001
2005-06-02,0.40133156114064766,0.11699533302762677,0.21,0.32,0.4,0.47000000000000003,0.63
2005-06-10,0.468170613823103,0.10771816190286339,0.26,0.41000000000000003,0.48,0.54,0.61
2005-06-18,0.5406573223779604,0.11697369307957955,0.31,0.47000000000000003,0.5700000000000001,0.62,0.68
2005-06-26,0.4423803769937168,0.12739219258423579,0.26,0.35000000000000003,0.44,0.54,0.67
2005-07-04,0.60626389560174,0.10948806554753998,0.42,0.53,0.61,0.6900000000000001,0.77
2005-07-12,0.6405413243112614,0.09418622924297296,0.4700000000000001,0.59,0.65,0.71,0.78
2005-07-20,0.5862533301041415,0.08618883420074928,0.43,0.54,0.59,0.63,0.72
2005-07-28,0.42400248601615914,0.19409832647877723,0.12,0.29,0.4,0.56,0.77
2005-08-05,0.5480934150076571,0.14269024073476855,0.27,0.46,0.58,0.66,0.71
2005-08-13,0.40149952244508125,0.2063788065557567,0.09,0.26,0.41000000000000003,0.49,0.93
2005-08-21,0.46621272365805166,0.16644263746928187,0.23,0.32,0.44,0.6,0.73
2005-08-29,0.5764819587628867,0.2376642922816057,0.12,0.43,0.64,0.77,0.886500000000001
2005-09-06,0.5367546621457979,0.16005683816730762,0.26,0.42,0.55,0.67,0.77
2005-09-14,0.5964886418559691,0.09043432065529404,0.46850000000000025,0.54,0.59,0.65,0.76
2005-09-22,0.6688518608611044,0.11846909301304949,0.43,0.595,0.71,0.76,0.81
2005-09-30,0.5140646425073457,0.13003590152041003,0.31,0.43,0.51,0.63,0.71
2005-10-08,0.6762421459642339,0.07735737022617359,0.54,0.63,0.68,0.73,0.79
2005-10-16,0.5667713871435477,0.06301063174546222,0.45999999999999996,0.53,0.5700000000000001,0.6,0.67
2005-10-24,0.526785886901885,0.08155486978023278,0.38,0.48,0.53,0.56,0.67
2005-11-01,0.42644755920734656,0.08651177308688139,0.29,0.38,0.43,0.47000000000000003,0.5900000000000001
2005-11-09,0.36862735621072984,0.08352985213097158,0.24,0.31,0.37,0.41000000000000003,0.53
2005-11-17,0.3306984050265829,0.08784994457640057,0.17,0.28,0.34,0.38,0.46
2005-11-25,0.32992991783470277,0.08851068872952347,0.17,0.27,0.33,0.38,0.48
2005-12-03,0.30137506041565976,0.07730957507213107,0.16,0.26,0.3,0.35000000000000003,0.43
2005-12-11,0.27436684388593524,0.08328906834336276,0.11,0.23,0.28,0.32,0.42000000000000004
2005-12-19,0.25012808119864666,0.0832583663203911,0.11,0.2,0.24,0.29,0.41000000000000003
2005-12-27,0.2460294828419526,0.07645489830540375,0.12,0.21,0.25,0.28,0.39
2006-01-01,0.23568722568722567,0.07519034213191643,0.11000000000000001,0.19,0.24,0.27,0.38
2006-01-09,0.22222684222684222,0.06421502707486218,0.12,0.17,0.23,0.25,0.34
2006-01-17,0.21164934164934165,0.05344069171288491,0.12,0.17,0.21,0.25,0.3
2006-01-25,0.20933240933240935,0.054003864116964465,0.14,0.17,0.21,0.23,0.33
2006-02-02,0.2042226842226842,0.04674878759107766,0.14,0.17,0.2,0.22,0.3
2006-02-10,0.2035943635943636,0.044550763720070066,0.14,0.17,0.2,0.23,0.28
2006-02-18,0.1885008085008085,0.03804888664355505,0.14,0.16,0.19,0.21,0.25
2006-02-26,0.21926310926310924,0.05268040497006416,0.15,0.18,0.22,0.24,0.32
2006-03-06,0.19861861861861863,0.043425562439269115,0.14,0.16,0.19,0.23,0.25
2006-03-14,0.18986601986601986,0.04069993496095977,0.14,0.16,0.18,0.21,0.28
2006-03-22,0.21460845460845462,0.043048429942647015,0.15,0.19,0.21,0.24,0.3
2006-03-30,0.1909170709170709,0.040223616193890144,0.13,0.16,0.19,0.21,0.26
2006-04-07,0.2292007392007392,0.05220044738984802,0.15,0.19,0.23,0.25,0.33
2006-04-15,0.23739893739893736,0.051248474187208605,0.16,0.2,0.24,0.26,0.33
2006-04-23,0.2893601293601294,0.0786598414271496,0.19,0.24,0.28,0.32,0.43999999999999995
2006-05-01,0.3565257565257565,0.10951366415929421,0.2,0.27,0.35000000000000003,0.43,0.5700000000000001
2006-05-09,0.3373896973896974,0.08454340231315038,0.19,0.28,0.35000000000000003,0.39,0.46
2006-05-17,0.28590750639089013,0.0798319627087928,0.16,0.23,0.28,0.33,0.44
2006-05-25,0.5275560175560176,0.1053745617290284,0.33,0.46,0.55,0.6,0.68
2006-06-02,0.40942942942942945,0.061747274938053036,0.27,0.38,0.42,0.45,0.48
2006-06-10,0.4791499191499192,0.08981420171588562,0.3,0.42,0.49,0.55,0.6
2006-06-18,0.6227165627165627,0.11854049412009147,0.37,0.54,0.65,0.71,0.78
2006-06-26,0.5561653961653963,0.09881481261684921,0.35000000000000003,0.51,0.5700000000000001,0.63,0.6900000000000001
2006-07-04,0.5506999306999307,0.08455224861934744,0.38,0.5,0.5700000000000001,0.61,0.65
2006-07-12,0.5414968814968815,0.1194165575133497,0.33,0.47000000000000003,0.55,0.62,0.73
2006-07-20,0.5377823977823978,0.06993101411869401,0.4,0.51,0.54,0.58,0.64
2006-07-28,0.454911064911065,0.08048018105482498,0.33,0.42,0.46,0.48,0.58
2006-08-05,0.3938641488162345,0.1425640172662424,0.12,0.3,0.4,0.49,0.64
2006-08-13,0.5062953936144284,0.19646652584960853,0.17,0.33,0.54,0.67,0.81
2006-08-21,0.5595497406883545,0.12781543152807434,0.31,0.49,0.58,0.65,0.73
2006-08-29,0.6152945252945252,0.06474294727294126,0.52,0.5700000000000001,0.61,0.66,0.72
2006-09-06,0.6094455994455994,0.12036756427162248,0.42,0.52,0.63,0.7000000000000001,0.78
2006-09-14,0.6045149077141505,0.156269858604245,0.34,0.53,0.63,0.7000000000000001,0.8300000000000001
2006-09-22,0.6405012705012705,0.08962694718177948,0.49,0.5700000000000001,0.64,0.71,0.78
2006-09-30,0.6366389466389466,0.08785237816724817,0.49,0.58,0.64,0.7000000000000001,0.77
2006-10-08,0.6353938553938555,0.07898313295520218,0.4700000000000001,0.6,0.65,0.6900000000000001,0.74
2006-10-16,0.6284476784476785,0.0772610488504885,0.4700000000000001,0.59,0.64,0.68,0.75
2006-10-24,0.584952644952645,0.08058663305230687,0.41000000000000003,0.54,0.6,0.64,0.6900000000000001
2006-11-01,0.5292307692307692,0.09609941633388418,0.35000000000000003,0.48,0.53,0.59,0.6900000000000001
2006-11-09,0.415980595980596,0.08209469256305767,0.26,0.37,0.43,0.46,0.54
2006-11-17,0.37528759528759525,0.07864947329622057,0.25,0.32,0.38,0.42,0.51
2006-11-25,0.33204435204435206,0.09121394218474159,0.21,0.26,0.33,0.38,0.51
2006-12-03,0.27850311850311854,0.08958555560801486,0.17,0.21,0.26,0.33,0.45
2006-12-11,0.24089859089859086,0.06266323931848719,0.15,0.21,0.23,0.26,0.36
2006-12-19,0.2543566643566644,0.07391571387869195,0.16,0.21,0.25,0.28,0.4
2006-12-27,0.22570339570339568,0.06692583573663237,0.14,0.17,0.23,0.25,0.35000000000000003
2007-01-01,0.17191842223218287,0.043768518026754064,0.12,0.15,0.17,0.19,0.26
2007-01-09,0.20418422232182878,0.054807802746289394,0.14,0.17,0.2,0.22,0.33
2007-01-17,0.21199238009861052,0.05924178731031885,0.14,0.17,0.2,0.23,0.33
2007-01-25,0.19342447333034515,0.04566181016021156,0.14,0.16,0.18,0.22,0.28
2007-02-02,0.1958628417749888,0.04506190785940708,0.14,0.16,0.19,0.22,0.29
2007-02-10,0.17880770954728822,0.03792954205095722,0.14,0.16,0.17,0.19,0.25
2007-02-18,0.16643433437920216,0.031307851909843226,0.13,0.15,0.16,0.18,0.23
2007-02-26,0.16428283281039893,0.029515947967919474,0.13,0.15,0.16,0.17,0.22
2007-03-06,0.18396683101748093,0.03595525847571206,0.13,0.16,0.18,0.2,0.24
2007-03-14,0.17901389511429852,0.03519893244155717,0.13,0.16,0.17,0.19,0.24
2007-03-22,0.20258180188256386,0.03633062493274482,0.14,0.18,0.21,0.22,0.26
2007-03-30,0.16449798296727924,0.031238536155811382,0.12,0.15,0.16,0.18,0.23
2007-04-07,0.2169542805916629,0.043475492906572696,0.15,0.19,0.21,0.24,0.3
2007-04-15,0.2722926938592559,0.05348719301509245,0.18,0.24,0.27,0.31,0.36
2007-04-23,0.38604885701479164,0.09494465271724896,0.22,0.33,0.39,0.45,0.51
2007-05-01,0.3756656207978485,0.058547664549971824,0.24,0.35000000000000003,0.39,0.41000000000000003,0.46
2007-05-09,0.2647220977140296,0.049441536952607786,0.19,0.23,0.27,0.29,0.35000000000000003
2007-05-17,0.3675728372926939,0.048865235667175266,0.25,0.34,0.38,0.4,0.42
2007-05-25,0.4305020170327208,0.07872054454264023,0.27,0.38,0.45,0.49,0.53
2007-06-02,0.5074025100851637,0.11035068493081057,0.31,0.43,0.52,0.59,0.67
2007-06-10,0.5577947108919767,0.08818034466836022,0.39,0.51,0.56,0.61,0.68
2007-06-18,0.48204168534289565,0.09069221849426512,0.34,0.43,0.48,0.54,0.6
2007-06-26,0.5014612281488122,0.09052621798981064,0.34050000000000014,0.45,0.49,0.56,0.65
2007-07-04,0.42208874943971314,0.1107512070564484,0.27,0.34,0.4,0.48,0.62
2007-07-12,0.5596324518153294,0.09664775352323797,0.37,0.5,0.5700000000000001,0.63,0.72
2007-07-20,0.5452092709270928,0.1352875603389194,0.26,0.48,0.5700000000000001,0.63,0.73
2007-07-28,0.340007197696737,0.15264203902828144,0.14,0.21,0.32,0.44,0.61
2007-08-05,0.5314051994621246,0.08029569037738415,0.4,0.48,0.53,0.59,0.66
2007-08-13,0.5528316559926807,0.16385602774023722,0.18,0.47000000000000003,0.59,0.66,0.75
2007-08-21,0.22719418960244647,0.09750951759333625,0.09,0.15,0.22,0.28,0.38
2007-08-29,0.4789041713641488,0.10505753432340151,0.27,0.42,0.5,0.55,0.62
2007-09-06,0.6121649484536082,0.12700907773274053,0.41000000000000003,0.54,0.61,0.7000000000000001,0.8
2007-09-14,0.631429852084267,0.07358721281356458,0.49,0.59,0.64,0.68,0.74
2007-09-22,0.6365329448677723,0.059476395766033884,0.55,0.6,0.63,0.67,0.74
2007-09-30,0.6655849394890184,0.05598036912580696,0.5700000000000001,0.63,0.68,0.71,0.75
2007-10-08,0.6228305692514569,0.06556575478432275,0.51,0.59,0.63,0.67,0.72
2007-10-16,0.5333146571044375,0.05297910293405603,0.44,0.5,0.53,0.5700000000000001,0.61
2007-10-24,0.5391035410129986,0.08583287494513611,0.38,0.49,0.55,0.59,0.6900000000000001
2007-11-01,0.509661586732407,0.09087747574334512,0.34,0.46,0.51,0.55,0.68
2007-11-09,0.414305244285074,0.09108194262756605,0.27,0.35000000000000003,0.42,0.47000000000000003,0.56
2007-11-17,0.4009861048857015,0.08939542585956474,0.26,0.34,0.39,0.47000000000000003,0.55
2007-11-25,0.3251232631107127,0.09116911132119594,0.21,0.25,0.32,0.38,0.49
2007-12-03,0.30803227252353205,0.0890833384068116,0.17,0.25,0.3,0.37,0.46
2007-12-11,0.3000112057373375,0.08670069309820887,0.17,0.24,0.28,0.36,0.47000000000000003
2007-12-19,0.2728440161362618,0.0802738050797898,0.16,0.22,0.25,0.32,0.43
2007-12-27,0.24948901837740925,0.07762243977073616,0.14,0.2,0.24,0.28,0.42
2008-01-01,0.24382431828341528,0.0672618331985063,0.14,0.21,0.24,0.28,0.38
2008-01-09,0.2609856951274028,0.0772208848780681,0.16,0.22,0.25,0.29,0.43000000000000005
2008-01-17,0.24043808672329012,0.06785845623579305,0.15,0.2,0.23,0.26,0.38
2008-01-25,0.23458649977648635,0.07103281275780136,0.14,0.18,0.23,0.25,0.4
2008-02-02,0.20535091640590072,0.0539318993530136,0.14,0.16,0.2,0.23,0.33
2008-02-10,0.21238042020563253,0.059069957170674224,0.14,0.17,0.21,0.23,0.35000000000000003
2008-02-18,0.17399195350916408,0.04239136820122595,0.13,0.15,0.16,0.19,0.2569999999999891
2008-02-26,0.1796177916852928,0.043225574041076256,0.13,0.16,0.17,0.19,0.27
2008-03-05,0.18746982565936524,0.04597126083849468,0.13,0.16,0.18,0.2,0.29
2008-03-13,0.21965131873044255,0.04684659538965486,0.14,0.19,0.22,0.24,0.32
2008-03-21,0.22157800625838178,0.04592626711030942,0.16,0.19,0.21,0.24,0.33
2008-03-29,0.24716137684398753,0.05675817756972822,0.16,0.22,0.24,0.26,0.35000000000000003
2008-04-06,0.22526821636119806,0.05604321752672666,0.14,0.19,0.22,0.25,0.33
2008-04-14,0.2605252570406795,0.05793662941270833,0.16,0.23,0.26,0.28,0.37
2008-04-22,0.3136499776486365,0.07639464137256001,0.19,0.25,0.32,0.37,0.44
2008-04-30,0.3651117568171659,0.0887790249485046,0.22000000000000003,0.31,0.37,0.42,0.5134999999999945
2008-05-08,0.38560572194903897,0.08380081607887002,0.23000000000000004,0.33,0.4,0.45,0.51
